yield_g,JIM5,JIM7,LM18,LM19,LM20,LM7,PAM1,LM16,LM8,2F4,INRA-RU2,INRA-RU1,LM5,LM6,LM13,LM12,LM10,LM11,LM15,LM21,LM22,(CBM3a,(CBM30,BS-400-2,BS-400-3,LM2,JIM8,JIM13,JIM19,MAC207
0.090000,0,53,0,0,37,0,0,0,0,0,0,14,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.121000,0,63,0,0,45,0,0,0,0,0,0,17,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.151000,0,64,0,0,46,0,0,0,0,0,0,13,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.218000,0,75,0,0,53,0,0,0,0,0,0,12,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.249000,0,70,0,0,53,0,0,0,0,0,0,10,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.297000,0,60,0,0,45,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.307000,0,73,0,0,48,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
