yield_g,JIM5,JIM7,LM18,LM19,LM20,LM7,PAM1,LM16,LM8,2F4,INRA-RU2,INRA-RU1,LM5,LM6,LM13,LM12,LM10,LM11,LM15,LM21,LM22,(CBM3a,(CBM30,BS-400-2,BS-400-3,LM2,JIM8,JIM13,JIM19,MAC207
0.108000,18,39,0,0,34,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.191000,29,81,0,0,72,0,0,0,0,0,18,39,33,26,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
0.199000,22,66,0,0,58,0,0,0,0,0,12,28,22,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.256000,28,78,0,0,67,0,0,0,0,0,26,41,35,22,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
0.290000,25,76,0,0,66,0,0,0,0,0,29,40,37,23,0,0,0,6,0,0,5,0,0,0,0,0,0,7,0,0
0.312000,23,55,0,0,48,0,0,0,0,0,26,30,26,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.326000,24,69,0,0,63,0,0,0,0,0,35,43,39,19,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
